"export-plot data (NetLogo 6.1.1)"
"projet-py.nlogo"
"04/29/2020 01:34:41:175 +0200"

"MODEL SETTINGS"
"decay-rate","communicating-hunters","gamma","radius-hunters","beta","number-preys","share-q-table","number-scouts","number-to-catch","radius-scouts","communicating-sensations","teaching","agent-id","experts-number","number-hunters","epsilon","mean-frequency"
"0","true","0.9","4","0.8","2","false","0","2","1","false","false","0","0","2","0","0"

"""Steps by Episode"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","21100","0","952","true","""0""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""Steps""","true","0","1","0","0"
"""1""","true","0","1","105","0"
"""0""","true","0","1","105","20605"

"""Steps""",,,,"""1""",,,,"""0"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
,,,,,,,,"0","81","105","true"
,,,,,,,,"1","165","105","true"
,,,,,,,,"2","44","105","true"
,,,,,,,,"3","87","105","true"
,,,,,,,,"4","362","105","true"
,,,,,,,,"5","50","105","true"
,,,,,,,,"6","78","105","true"
,,,,,,,,"7","2","105","true"
,,,,,,,,"8","106","105","true"
,,,,,,,,"9","358","105","true"
,,,,,,,,"10","320","105","true"
,,,,,,,,"11","319","105","true"
,,,,,,,,"12","186","105","true"
,,,,,,,,"13","194","105","true"
,,,,,,,,"14","2","105","true"
,,,,,,,,"15","132","105","true"
,,,,,,,,"16","121","105","true"
,,,,,,,,"17","160","105","true"
,,,,,,,,"18","14","105","true"
,,,,,,,,"19","153","105","true"
,,,,,,,,"20","15","105","true"
,,,,,,,,"21","323","105","true"
,,,,,,,,"22","25","105","true"
,,,,,,,,"23","76","105","true"
,,,,,,,,"24","11","105","true"
,,,,,,,,"25","315","105","true"
,,,,,,,,"26","139","105","true"
,,,,,,,,"27","95","105","true"
,,,,,,,,"28","47","105","true"
,,,,,,,,"29","284","105","true"
,,,,,,,,"30","19","105","true"
,,,,,,,,"31","181","105","true"
,,,,,,,,"32","16","105","true"
,,,,,,,,"33","32","105","true"
,,,,,,,,"34","72","105","true"
,,,,,,,,"35","180","105","true"
,,,,,,,,"36","38","105","true"
,,,,,,,,"37","553","105","true"
,,,,,,,,"38","223","105","true"
,,,,,,,,"39","76","105","true"
,,,,,,,,"40","117","105","true"
,,,,,,,,"41","241","105","true"
,,,,,,,,"42","218","105","true"
,,,,,,,,"43","40","105","true"
,,,,,,,,"44","400","105","true"
,,,,,,,,"45","150","105","true"
,,,,,,,,"46","50","105","true"
,,,,,,,,"47","14","105","true"
,,,,,,,,"48","19","105","true"
,,,,,,,,"49","678","105","true"
,,,,,,,,"50","219","105","true"
,,,,,,,,"51","20","105","true"
,,,,,,,,"52","159","105","true"
,,,,,,,,"53","312","105","true"
,,,,,,,,"54","393","105","true"
,,,,,,,,"55","196","105","true"
,,,,,,,,"56","86","105","true"
,,,,,,,,"57","56","105","true"
,,,,,,,,"58","60","105","true"
,,,,,,,,"59","82","105","true"
,,,,,,,,"60","25","105","true"
,,,,,,,,"61","42","105","true"
,,,,,,,,"62","10","105","true"
,,,,,,,,"63","179","105","true"
,,,,,,,,"64","94","105","true"
,,,,,,,,"65","30","105","true"
,,,,,,,,"66","429","105","true"
,,,,,,,,"67","310","105","true"
,,,,,,,,"68","157","105","true"
,,,,,,,,"69","18","105","true"
,,,,,,,,"70","2","105","true"
,,,,,,,,"71","243","105","true"
,,,,,,,,"72","10","105","true"
,,,,,,,,"73","361","105","true"
,,,,,,,,"74","55","105","true"
,,,,,,,,"75","67","105","true"
,,,,,,,,"76","473","105","true"
,,,,,,,,"77","3","105","true"
,,,,,,,,"78","170","105","true"
,,,,,,,,"79","127","105","true"
,,,,,,,,"80","4","105","true"
,,,,,,,,"81","108","105","true"
,,,,,,,,"82","273","105","true"
,,,,,,,,"83","2","105","true"
,,,,,,,,"84","452","105","true"
,,,,,,,,"85","136","105","true"
,,,,,,,,"86","149","105","true"
,,,,,,,,"87","63","105","true"
,,,,,,,,"88","62","105","true"
,,,,,,,,"89","3","105","true"
,,,,,,,,"90","74","105","true"
,,,,,,,,"91","113","105","true"
,,,,,,,,"92","310","105","true"
,,,,,,,,"93","213","105","true"
,,,,,,,,"94","60","105","true"
,,,,,,,,"95","183","105","true"
,,,,,,,,"96","85","105","true"
,,,,,,,,"97","153","105","true"
,,,,,,,,"98","47","105","true"
,,,,,,,,"99","91","105","true"
,,,,,,,,"100","38","105","true"
,,,,,,,,"101","231","105","true"
,,,,,,,,"102","89","105","true"
,,,,,,,,"103","260","105","true"
,,,,,,,,"104","49","105","true"
,,,,,,,,"105","36","105","true"
,,,,,,,,"106","74","105","true"
,,,,,,,,"107","79","105","true"
,,,,,,,,"108","42","105","true"
,,,,,,,,"109","48","105","true"
,,,,,,,,"110","79","105","true"
,,,,,,,,"111","134","105","true"
,,,,,,,,"112","344","105","true"
